paper_id,ss_venue_id
00ed9da6a332d38ead4ddb441d041900bb331bce,c87208c5-f0e4-48bc-ac0d-3e9372f2a37b
00f1954d89df6948227b0b39bea57b569b6539f1,18232e92-ef10-46fd-ad77-bb418dcd525d
00f9583dd730c99aa6b99cd495239e304e13f845,e4782337-db2d-4ab2-8eda-a71d1c60709b
00ff3c4ea8f19fa6b46e2408f9b6df0c23236fc4,2c1f69ba-dda0-4762-9aaa-ef99479982f5
010370eb89fc097500a0f1f8d471917e53873830,fa1f0815-0811-4291-b4fc-8230a6c9bf5b
0125a133871ce78e1f94047e79fcf994aee35011,7917337a-5ba4-4bba-aeca-def885b1eaa1
0126412164cbab22fa07965e711cf365e1b5b36e,72390b02-108e-40d6-a989-7293b779f864
0127d079481eb792b695a5e70b870e4a7527dbe9,c2d2f226-917d-4d4a-8e15-193125d1da93
012ae08b8d9c8cad552562aa9e5ec9d22866cbef,92860f3d-6cd0-4e2e-afe6-ae87c5e9b94f
0131d2a015650dbb18f9ac40cccc99e327eee25c,6dfeab73-62c1-40e6-8a00-8f05b75d7ddb
013a75c03876eb38c02629ebe288e238c6447062,592507fd-0739-4855-ae80-eb3dabbce52c
013a9740b25090bf8f9682b71497000ac0297762,2387b114-69fa-4cb7-92e5-bdc2451c1150
014d7d4ac809f51cd101d45a38f82ff661aa44f3,4bc1d422-ff7b-4116-bd39-73f1f263fd17
015181190ad2e0f7279e0960287b5ad116c43b7d,07e65705-6eb2-4447-ab15-03c2167a4540
